Ticker,Side,Price,RVOL,RSI,RS_1D,RS_1W,RS_1M,RS_3M,RS_1Y,52W_High,Earnings,Sector
WBD,LONG,23.625,0.314818585541971,60.30794934841807,2.8963455663945092,2.317019678980592,12.553598178250326,95.89551557205394,133.67953315801196,23.690000534057617,N/A,Communication Services
LLY,LONG,1107.0,0.20058136694288323,88.37845408197106,-0.26487391763965196,5.468752453240011,35.181780115607175,51.459872514446324,49.09652236946658,1109.93994140625,N/A,Health Care
GOOGL,LONG,318.2099914550781,0.4612102010355082,67.84342942662028,-1.6169957169338,8.674565113304112,18.97034807746789,50.48884568770524,93.98720147582831,323.44000244140625,N/A,Communication Services
GOOG,LONG,318.42498779296875,0.4534832241518054,68.05654423543464,-1.6113665243569164,8.681183114224211,18.62496609221054,50.072802385194116,92.00253055476506,323.6400146484375,N/A,Communication Services
AMAT,LONG,246.41969299316406,0.2603748085266923,57.93827408337021,1.6331296583563137,5.006894316749988,8.461922885021323,49.3935399862312,42.31838508155255,246.41969299316406,N/A,Information Technology
ALB,LONG,125.48999786376953,0.20582612385119953,81.32893343224686,0.1836146603996669,-0.15117953607963752,29.79933540303412,48.57616158448239,18.2977539916495,125.68000030517578,N/A,Materials
CAH,LONG,214.5399932861328,0.1553782524942016,91.0670418644381,0.3789816940932944,3.3828011127327473,31.789423265740922,43.96410423177946,78.61488376802245,214.5399932861328,N/A,Health Care
BIIB,LONG,182.49000549316406,0.2282268591625064,86.01392452823747,0.2912721255997175,8.670287293761469,22.369744195050558,37.57256983786456,15.573155508036528,182.49000549316406,N/A,Health Care
REGN,LONG,788.2750244140625,0.13807639804285324,86.30013591215376,0.12129973593448806,12.310688574519911,20.5939695816042,36.17146319054434,7.404724042225741,788.2750244140625,N/A,Health Care
WAT,LONG,402.8299865722656,0.2402866497856198,71.53540751513219,-2.3537164327175564,7.0644482584094614,16.441674333919366,35.33680323620647,7.861403929525279,417.2799987792969,N/A,Health Care
UHS,LONG,244.34500122070312,0.10896648391438804,70.03236301049202,0.24821355292701242,7.197068791606198,11.410264937430071,34.98202405340209,23.974736810811525,244.34500122070312,N/A,Health Care
MCK,LONG,890.0750122070312,0.1369782505172662,63.944186791292296,0.08939624010051439,4.411303951608914,10.624663803708634,30.853603483761095,43.45861944166292,890.0750122070312,N/A,Health Care
COR,LONG,372.6600036621094,0.21409496667576025,68.65924951443648,-0.5577041595438592,3.3071805262782528,11.212259891559295,28.763613088810903,53.267356855671125,374.75,N/A,Health Care
MRK,LONG,104.95500183105469,0.19160420029241917,90.54768362653822,-0.6672362356802686,10.420829522649555,20.596349883003672,27.378622977049627,9.742032478440743,105.66000366210938,N/A,Health Care
AVGO,LONG,392.260009765625,0.41200153971072584,64.65979144985903,1.8777786170558697,10.67659694832841,5.172000021928613,27.306690289271263,141.1905455966778,392.260009765625,N/A,Information Technology
HCA,LONG,516.1799926757812,0.15319445569922233,74.64805089575755,0.06397540088451947,7.3005436526469625,10.65900658824055,26.965105697625958,60.151393194805266,516.1799926757812,N/A,Health Care
INCY,LONG,105.94999694824219,0.11516806252150368,52.33645037514784,0.37896152052996346,4.569677524046112,15.602831624967784,26.58303561678599,47.727265957795375,108.26000213623047,N/A,Health Care
STLD,LONG,165.47999572753906,0.14106104335138392,72.88629089121552,0.7488558462947159,6.445380535789003,2.737932701799295,26.22778785941362,17.06323180056941,165.47999572753906,N/A,Materials
GM,LONG,73.08499908447266,0.23705586736875311,66.17144843485423,0.41907159974086117,6.693429320398048,4.601397182638434,25.276128321170678,26.192957489134283,73.08499908447266,N/A,Consumer Discretionary
A,LONG,155.52000427246094,0.6375804789922029,63.84004839049022,-1.0686976516509628,7.700838536010002,6.630097884316943,24.70574027767394,17.140979475018447,157.1999969482422,N/A,Health Care
APH,LONG,138.91000366210938,0.16383909181982406,51.093496916751235,0.7982048639453287,1.6464217325524944,1.1799915909386227,24.265219718648034,88.47261221634461,143.85000610351562,N/A,Information Technology
CMI,LONG,496.989990234375,0.08102757451726154,65.64102807669148,0.4141891507772,5.4675923254486,20.47694030256524,24.187882220845513,36.04611880095663,496.989990234375,N/A,Industrials
RL,LONG,366.739990234375,0.14840744064360872,77.61162210996437,0.6145377872085023,10.837761370398624,10.730669298746264,23.5884804811352,75.23293137964116,366.739990234375,N/A,Consumer Discretionary
CHRW,LONG,158.78500366210938,0.11215807623895074,72.25385362250488,0.9119780762192775,4.905525252257448,23.982973827848177,23.411585501804066,51.07519189576091,158.78500366210938,N/A,Industrials
WELL,LONG,205.76499938964844,0.1420681486110464,89.03956361490465,0.5743208723740567,4.502288353459583,14.951847291606214,23.398136575825855,51.81982626247024,205.76499938964844,N/A,Real Estate
IQV,LONG,231.02999877929688,0.09199743616352565,76.29726595061085,-0.3837527581386557,6.230459498782315,5.913901621840023,22.412973035205486,14.473288274216056,231.9199981689453,N/A,Health Care
NEM,LONG,88.95999908447266,0.189205627793482,60.40116136570803,3.1181204892540615,1.6569499632566709,12.125035531401673,22.318575585725654,109.18176552831954,98.2699966430664,N/A,Materials
EXE,LONG,118.3499984741211,0.16717603083454455,72.1010344665732,2.017064300320226,0.920953237802058,17.74496013223068,22.297833987814506,22.780579603556127,120.08824157714844,N/A,Energy
ISRG,LONG,576.52001953125,0.1262594301184362,62.19863256436667,-0.40595912826018044,2.1039962763194087,5.707842836631172,21.669767007202843,5.229347230073134,610.4500122070312,N/A,Health Care
DD,LONG,39.28499984741211,0.08908559184010359,50.874908093734255,1.3022204332425957,3.709077982258835,14.641215447730538,21.58915928571412,15.058511171370847,40.790000915527344,N/A,Materials
EXPD,LONG,147.27000427246094,0.11607204899704443,73.06997585361295,-0.210053906184815,5.8506426392385125,23.341710544736838,21.42975408538732,22.962506672714046,147.5800018310547,N/A,Industrials
JBHT,LONG,174.03509521484375,0.09623667266137007,57.68103214474823,1.1655504561848495,8.826348929160655,4.760637225469289,21.189972490545948,-3.4767307911690137,188.6665496826172,N/A,Industrials
COO,LONG,78.25499725341797,0.39244202024450003,81.96893949975359,0.05753505878027809,8.46153236095124,9.066198262603443,21.17527877769023,-22.36607650375134,104.9800033569336,N/A,Health Care
MNST,LONG,75.08999633789062,0.10386948056103018,82.85927536745012,0.3608615933810011,3.8589117128190464,8.323711293231906,21.073840347724236,38.90121056302771,75.08999633789062,N/A,Consumer Staples
AMGN,LONG,342.9201965332031,0.14021088104510612,76.09995015962392,0.5306825538322846,0.8662508911335021,18.239596406473744,20.922250954793007,20.21945424981979,342.9201965332031,N/A,Health Care
EXPE,LONG,258.8900146484375,0.07595011780638763,66.1381480866331,0.2905400005579928,7.888817888367039,15.100851712665087,20.777890717702576,41.13117277776175,273.19390869140625,N/A,Consumer Discretionary
TMO,LONG,590.2949829101562,0.4435612522493895,63.447787906959164,-1.2521405901637195,2.8764888748241457,5.857822882792751,20.640522628783753,15.414680291593118,605.0565185546875,N/A,Health Care
FICO,LONG,1803.3349609375,0.11160965032443068,64.46211954730249,-0.36823420234806115,3.869166749340125,8.201827934504324,19.71394589529183,-23.43664906835067,2382.39990234375,N/A,Information Technology
AAPL,LONG,277.9700012207031,0.15805751123435344,63.51695646535628,0.36104993161449883,3.5038739006751474,3.434750293973865,19.642011331452203,21.471783597352868,277.9700012207031,N/A,Information Technology
FDX,LONG,274.9150085449219,0.07604777821270577,66.05663042443213,0.38157280693973394,4.70160371571291,10.16429780924637,19.63364150724274,-6.201270222857513,298.1515197753906,N/A,Industrials
VTR,LONG,79.99500274658203,0.11044614568806307,82.99547425514822,0.6986408460714078,-0.0062465667724609375,14.197001087175053,19.268215776734877,29.626441600658502,80.0,N/A,Real Estate
JNJ,LONG,207.3699951171875,0.15829863876968664,98.22360192534055,0.33870274081579943,3.050039119008674,11.638921503385301,18.94364543517373,38.83648969718665,207.3699951171875,N/A,Health Care
SOLV,LONG,86.37999725341797,0.11042548458303884,99.75249777822094,0.7112051232671668,11.731988075604338,21.799209649785833,18.882456509513325,21.98842004187387,86.37999725341797,N/A,Health Care
TECH,LONG,64.45999908447266,0.1394365930750645,67.97080961213607,-2.110857132661448,11.503195905914687,0.9492675894868796,18.80537120750645,-9.05372244171173,78.30477142333984,N/A,Health Care
ROST,LONG,176.52999877929688,0.17079640912404023,85.15961490989879,0.01699647552231287,10.021814980926269,9.850654717904671,18.754080254238325,22.187430095672944,176.52999877929688,N/A,Consumer Discretionary
NEE,LONG,84.88500213623047,0.14294796914114113,65.79928936467238,0.06483591181021264,1.4118944365520303,2.2613392097968976,18.545998871015556,15.17480077928477,85.45136260986328,N/A,Utilities
LVS,LONG,68.06999969482422,0.09248868467996517,71.46341765988394,0.6506024830335466,6.276341064055702,17.434354856234545,18.43146328063161,38.83777739324421,68.06999969482422,N/A,Consumer Discretionary
PWR,LONG,456.1455993652344,0.22051355156007768,56.799198443004364,1.3341592663090207,2.396479699031895,3.7708651101824975,18.213202599223077,33.56731848777312,456.1455993652344,N/A,Industrials
EA,LONG,201.87049865722656,0.24470982425536178,62.03860497560999,0.1043811322496424,0.1441099432151649,0.7840716832455241,18.05982348207893,21.72617514132611,202.0500030517578,N/A,Communication Services
KEYS,LONG,196.0,0.18465696146886193,60.620752958295704,0.276267915473527,12.250157101471526,15.267000552148513,17.696512001876542,15.10453453434617,196.0,N/A,Information Technology
IDXX,LONG,758.47998046875,0.1497014035116599,62.68572045657657,-1.0695482189919225,8.805050499567212,19.56617661632616,17.224849871803816,81.78506332595093,766.6799926757812,N/A,Health Care
RVTY,LONG,104.43499755859375,0.0964937716528522,79.47046183689768,-1.075118063381142,13.20866944021002,8.278901879734168,17.127453987795672,-6.517085852577109,126.55815124511719,N/A,Health Care
MDT,LONG,105.49500274658203,0.1641452944476606,90.88741443460651,0.13764050741449374,5.137538964354893,13.155635469293681,15.588646943744555,26.39239954994881,105.49500274658203,N/A,Health Care
SRE,LONG,93.30999755859375,0.11135272028055695,52.40689847287302,0.9083987528947457,2.5159316633547535,0.821171779336316,15.402368393167487,2.173966437378727,94.01000213623047,N/A,Utilities
AKAM,LONG,90.44999694824219,0.05843228904225059,80.47499942706298,-0.28663007259910334,4.542302886798288,19.405936565336223,15.384612389965513,-2.6372492329337915,102.0999984741211,N/A,Information Technology
MTD,LONG,1480.2049560546875,0.16863476132040703,58.66994683375561,-1.7141248550332944,5.395420166602771,5.3841719493436635,15.36072300529423,21.53049678229555,1506.02001953125,N/A,Health Care
PLD,LONG,128.72000122070312,0.10989905829220299,64.9556450755107,1.0440394359266802,5.163398379115214,2.3862551470497317,15.294623498372495,15.222396196748544,128.72000122070312,N/A,Real Estate
BG,LONG,96.23999786376953,0.07191263522771697,56.602357390376405,-0.2797681758205828,3.3172262880019066,0.598549442294094,14.553738425543328,13.638377478098175,97.08695220947266,N/A,Consumer Staples
HII,LONG,313.5,0.0821170507628783,56.83782917192445,-0.39081464855335035,1.2139245445122793,4.800422761374468,14.44948143955811,61.6537427038391,324.19000244140625,N/A,Industrials
ROK,LONG,396.57000732421875,0.11659450153894309,64.588914672556,1.3467977755313054,6.467460166278527,9.958133207107345,14.005227035653146,38.57181352850052,396.57000732421875,N/A,Industrials
F,LONG,13.1899995803833,0.12426718276423059,54.10448066586364,0.15185652219815715,2.2480617862690178,1.6187699461499783,13.941451464693744,26.72051749866482,13.681768417358398,N/A,Consumer Discretionary
GILD,LONG,127.12999725341797,0.12886921050304842,57.356987345749424,0.007862261343616339,-0.7339814297199765,7.84696319606657,13.728542103873709,45.15782070004624,128.07000732421875,N/A,Health Care
WMT,LONG,109.05500030517578,0.1976321896234496,68.0627049361059,1.9205610328745681,8.393797478970821,5.704179742829418,13.468941434415061,21.758437300489742,109.05500030517578,N/A,Consumer Staples
MAR,LONG,305.3590087890625,0.20516034751099455,76.73385822227644,0.407409473815612,7.699000894656938,15.301968659909559,13.258314539018134,8.459631050963212,305.3590087890625,N/A,Consumer Discretionary
